cohort,module,stratum,metric,point_estimate,valid_replicates,bootstrap_mean,bootstrap_sd,ci_low,bootstrap_median,ci_high
CHARLS,wealth_by_sex,female_minus_male,contribution_relapse,0.701466137756304,496,0.70849437872812,0.537096861116859,-0.29422916455008,0.707966414573647,1.77140573027298
CHARLS,wealth_by_sex,female_minus_male,gap_dfle,1.85347807912139,496,1.83490078681786,0.992343821872713,-0.0779422776755801,1.86196659399416,3.77611369056747
CHARLS,wealth_by_sex,female_minus_male,high_dfle,-3.2188171129076,496,-3.15785460153155,0.821887729482919,-4.71249638171942,-3.18127623098643,-1.54435926106688
CHARLS,wealth_by_sex,female_minus_male,low_dfle,-1.3653390337862,496,-1.32295381471369,0.631818959495683,-2.56902550436936,-1.29481991360598,-0.102939907199422
CHARLS,wealth_by_sex,female_minus_male,recovery_relapse_contribution,0.572670709465099,496,0.590760981104356,0.723178335884874,-0.789488349606836,0.606024918079013,2.11482218609281
CHARLS,wealth_by_sex,female_minus_male,recovery_relapse_percent,-0.7079847884205,496,-2.18678975086691,17.3093305562197,-41.1499079774086,-0.854205391597223,29.3880210393792
CHARLS,wealth_by_sex,male,contribution_onset,-2.7880430374061,496,-2.74760871405198,0.444525029815405,-3.68328855502477,-2.71511497795001,-1.96523480596768
CHARLS,wealth_by_sex,male,contribution_post_disability_mortality,-0.312364720740357,496,-0.339562605489377,0.328179563891921,-0.989315675482037,-0.335491438024216,0.224943170920639
CHARLS,wealth_by_sex,male,contribution_pre_disability_mortality,-0.264166227364623,496,-0.24354614338995,0.290765117262777,-0.834351397448786,-0.263366634283197,0.336724886535685
CHARLS,wealth_by_sex,male,contribution_recovery,-0.83079891134113,496,-0.85858436909669,0.32934706994268,-1.55034237583973,-0.868797201787252,-0.241797672612343
CHARLS,wealth_by_sex,male,contribution_relapse,-0.595759331641998,496,-0.605057914448699,0.349536109958629,-1.2949026888616,-0.606395394030981,0.0263655669580988
CHARLS,wealth_by_sex,male,gap_dfle,-4.79113222849421,496,-4.79435974647669,0.760214783531349,-6.30821396164583,-4.7719985371848,-3.30798759436554
CHARLS,wealth_by_sex,male,high_dfle,19.8051929397546,496,19.8026175221649,0.670272557430722,18.5389841789488,19.7788223532203,21.1582585752148
CHARLS,wealth_by_sex,male,low_dfle,15.0140607112604,496,15.0082577756882,0.505343814291453,14.0244142698238,15.0033912693523,16.0426376734092
CHARLS,wealth_by_sex,male,recovery_relapse_contribution,-1.42655824298313,496,-1.46364228354539,0.530796463375639,-2.51190244471509,-1.46553143944373,-0.439994350772365
CHARLS,wealth_by_sex,male,recovery_relapse_percent,29.7749712374663,496,30.0858714277965,8.95920134057012,11.5446322514327,30.4047870959201,47.6232865471471
ELSA,wealth_by_sex,female,contribution_onset,-2.88421550899465,500,-2.85893410930059,0.339536843184384,-3.5749335822384,-2.85894184783286,-2.21794458471871
ELSA,wealth_by_sex,female,contribution_post_disability_mortality,-0.407737785406467,500,-0.396435403053645,0.114774729700666,-0.632007649179015,-0.393753104065852,-0.190024048118988
ELSA,wealth_by_sex,female,contribution_pre_disability_mortality,-0.723219753457871,500,-0.692077857102796,0.278569262326085,-1.24658015367565,-0.699752425358332,-0.124229418667535
ELSA,wealth_by_sex,female,contribution_recovery,-1.15619179739748,500,-1.17128102461007,0.172841335698476,-1.50720881984452,-1.17454712728779,-0.833344797576028
ELSA,wealth_by_sex,female,contribution_relapse,-0.750962481339715,500,-0.746329866187962,0.139841430625043,-1.04712965796396,-0.740060702359785,-0.476559655788672
ELSA,wealth_by_sex,female,gap_dfle,-5.92232732659619,500,-5.86505826025506,0.461202336089318,-6.80695083615627,-5.84510694136458,-4.97279486483752
ELSA,wealth_by_sex,female,high_dfle,21.9270443856468,500,21.870862108855,0.366172520017606,21.1704001923094,21.8760089596665,22.6212134682697
ELSA,wealth_by_sex,female,low_dfle,16.0047170590506,500,16.0058038485999,0.306812758008426,15.3952818906357,15.9828144545945,16.6382270331156
ELSA,wealth_by_sex,female,recovery_relapse_contribution,-1.9071542787372,500,-1.91761089079803,0.23593633192122,-2.43775283874552,-1.91547481663984,-1.44863753456406
ELSA,wealth_by_sex,female,recovery_relapse_percent,32.2027840334404,500,32.7751880983041,3.8510906998723,25.305819734217,32.6645059289841,40.5903077720638
ELSA,wealth_by_sex,female_minus_male,contribution_onset,0.0950088076065296,500,0.121541552288165,0.477255131683532,-0.790884075265985,0.110469671358898,1.15177248773239
