cohort,exposure,process,rows,persons,events,low_rows,low_events,high_rows,high_events,converged,iterations,coefficient_abs_max,warning_n,warnings,sensitivity
ELSA,wealth,death_pre,19821,7617,550,4444,178,8548,174,TRUE,7,5.09801817185331,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
ELSA,wealth,onset,32083,9136,2823,6605,879,14517,952,TRUE,6,3.43643391970638,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
ELSA,wealth,recovery,12129,5331,3281,4981,1134,3149,1015,TRUE,5,2.66521193279626,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
ELSA,wealth,relapse,6108,2656,1820,1899,665,2031,518,TRUE,6,2.11996505934515,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
HRS,education,death_post,52259,16060,6148,17824,2426,6892,688,TRUE,17,11.1318918519288,2,non-integer #successes in a binomial glm! | glm.fit: fitted probabilities numerically 0 or 1 occurred,exclude_pandemic_crossing
HRS,education,death_pre,95281,23315,3270,18279,903,21667,518,TRUE,16,11.2399070386772,2,non-integer #successes in a binomial glm! | glm.fit: fitted probabilities numerically 0 or 1 occurred,exclude_pandemic_crossing
HRS,education,onset,87766,21516,8159,16652,2398,20096,1288,TRUE,14,13.6372876945689,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
HRS,education,recovery,29093,12915,7164,10990,2217,3474,1055,TRUE,16,15.3743311863082,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
HRS,education,relapse,16940,6603,4679,4549,1514,2624,592,TRUE,15,15.1436651316693,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
HRS,wealth,death_post,52261,16061,6149,23756,2796,12524,1435,TRUE,17,11.1347757691784,2,non-integer #successes in a binomial glm! | glm.fit: fitted probabilities numerically 0 or 1 occurred,exclude_pandemic_crossing
HRS,wealth,death_pre,95309,23324,3273,25106,1107,37428,1054,TRUE,17,11.640010523491,2,non-integer #successes in a binomial glm! | glm.fit: fitted probabilities numerically 0 or 1 occurred,exclude_pandemic_crossing
HRS,wealth,onset,87789,21521,8160,23101,2833,34569,2568,TRUE,14,13.7091814801683,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
HRS,wealth,recovery,29095,12916,7164,14005,3035,6484,1882,TRUE,16,15.3282376096116,1,non-integer #successes in a binomial glm!,exclude_pandemic_crossing
