age,origin_state,destination,annual_probability,cohort,exposure,ses
80,DEAD,D2,0,CHARLS,education,high
80,I0,DEAD,0.0265607970707226,CHARLS,education,high
80,D1,DEAD,0.0975606844950508,CHARLS,education,high
80,R1,DEAD,0.0519350161841283,CHARLS,education,high
80,D2,DEAD,0.0623241959283069,CHARLS,education,high
80,DEAD,DEAD,1,CHARLS,education,high
81,I0,I0,0.921202082997783,CHARLS,education,high
81,D1,I0,0,CHARLS,education,high
81,R1,I0,0,CHARLS,education,high
81,D2,I0,0,CHARLS,education,high
81,DEAD,I0,0,CHARLS,education,high
81,I0,D1,0.0488296213075087,CHARLS,education,high
81,D1,D1,0.796394887646829,CHARLS,education,high
81,R1,D1,0,CHARLS,education,high
81,D2,D1,0,CHARLS,education,high
81,DEAD,D1,0,CHARLS,education,high
81,I0,R1,0,CHARLS,education,high
81,D1,R1,0.0948247643420765,CHARLS,education,high
81,R1,R1,0.817504278437817,CHARLS,education,high
81,D2,R1,0.0894466056177704,CHARLS,education,high
81,DEAD,R1,0,CHARLS,education,high
81,I0,D2,0,CHARLS,education,high
81,D1,D2,0,CHARLS,education,high
81,R1,D2,0.124371765726839,CHARLS,education,high
81,D2,D2,0.84091716052014,CHARLS,education,high
81,DEAD,D2,0,CHARLS,education,high
81,I0,DEAD,0.0299682956947079,CHARLS,education,high
81,D1,DEAD,0.108780348011094,CHARLS,education,high
81,R1,DEAD,0.0581239558353442,CHARLS,education,high
81,D2,DEAD,0.0696362338620901,CHARLS,education,high
81,DEAD,DEAD,1,CHARLS,education,high
82,I0,I0,0.914999215002856,CHARLS,education,high
82,D1,I0,0,CHARLS,education,high
82,R1,I0,0,CHARLS,education,high
82,D2,I0,0,CHARLS,education,high
82,DEAD,I0,0,CHARLS,education,high
82,I0,D1,0.0509256705203794,CHARLS,education,high
82,D1,D1,0.789939240806661,CHARLS,education,high
82,R1,D1,0,CHARLS,education,high
82,D2,D1,0,CHARLS,education,high
82,DEAD,D1,0,CHARLS,education,high
82,I0,R1,0,CHARLS,education,high
82,D1,R1,0.0890209739891132,CHARLS,education,high
82,R1,R1,0.819043626736563,CHARLS,education,high
82,D2,R1,0.084167291644364,CHARLS,education,high
82,DEAD,R1,0,CHARLS,education,high
82,I0,D2,0,CHARLS,education,high
82,D1,D2,0,CHARLS,education,high
82,R1,D2,0.115969310457478,CHARLS,education,high
82,D2,D2,0.838168325733745,CHARLS,education,high
82,DEAD,D2,0,CHARLS,education,high
82,I0,DEAD,0.0340751144767645,CHARLS,education,high
82,D1,DEAD,0.121039785204226,CHARLS,education,high
82,R1,DEAD,0.0649870628059592,CHARLS,education,high
82,D2,DEAD,0.0776643826218907,CHARLS,education,high
82,DEAD,DEAD,1,CHARLS,education,high
83,I0,I0,0.908147559951127,CHARLS,education,high
83,D1,I0,0,CHARLS,education,high
83,R1,I0,0,CHARLS,education,high
83,D2,I0,0,CHARLS,education,high
83,DEAD,I0,0,CHARLS,education,high
