cohort,exposure,process,term,estimate,std_error_model,statistic,p_value_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model
MHAS,education,onset,period_factor2,-17.3289824076402,539.461192698881,-0.0321227599726771,0.97437415294096,2.97932968207012e-08,0,Inf
MHAS,education,onset,period_factor3,0.0155442227435962,0.0818373290327439,0.189940494482374,0.849355760028227,1.01566566258736,0.865146050183041,1.1923729385816
MHAS,education,onset,period_factor4,-0.118514878065809,0.0836141928502267,-1.41740144855668,0.156365589420732,0.888238600286146,0.753973018533903,1.046413852544
MHAS,education,onset,period_factor5,-0.0456865961668477,0.0816374771429133,-0.559627731842686,0.575733385136088,0.955341322910435,0.814080477330682,1.12111402825046
MHAS,education,recovery,(Intercept),-0.697268251119056,0.248908007554601,-2.80130903770182,0.00508957534982165,0.497943704699665,0.305707063023082,0.81106380270745
MHAS,education,recovery,sesmiddle,-0.0578521082298766,0.407338263001445,-0.142024733457636,0.887060469239809,0.943789515818155,0.424758246481262,2.09704851535487
MHAS,education,recovery,seslow,0.147450779309608,0.22563410750269,0.653495080781836,0.513437159728312,1.15887624273719,0.744686412975543,1.80343581214872
MHAS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",-0.783662101832904,0.159701057835674,-4.90705642438048,9.24534420791007e-07,0.456730351901383,0.333979329651722,0.624597380219591
MHAS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",-1.80112553757788,0.252786176238471,-7.12509506801018,1.04008873532571e-12,0.165112942775235,0.100601667791933,0.270992364940536
MHAS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",-2.32501771876421,0.32627512448213,-7.12594232384257,1.03370999699245e-12,0.0977817114649106,0.0515853808885704,0.185348308615968
MHAS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",-0.917403845879392,0.383825847812027,-2.39015650224963,0.0168411946463678,0.399555002110544,0.188303076042719,0.847804523784513
MHAS,education,recovery,origin_factorD2,-0.125599451609703,0.157909166682978,-0.795390503591597,0.426386382252601,0.881968046923309,0.647199025919116,1.20189865040206
MHAS,education,recovery,sex_factormale,0.167323195983099,0.0683641209948288,2.44752939916768,0.0143839389956495,1.18213626526702,1.03389116972808,1.35163757131903
MHAS,education,recovery,period_factor2,-18.9220356171813,977.605329097346,-0.0193554955706437,0.984557513140063,6.05709444006455e-09,0,Inf
MHAS,education,recovery,period_factor3,-0.679915831650739,0.105537377840915,-6.44241732702164,1.17585418732733e-10,0.506659635276111,0.41198468929893,0.623091082474333
MHAS,education,recovery,period_factor4,-0.409376895955058,0.101082609741701,-4.04992408685481,5.12342504673075e-05,0.664063902152345,0.544711593269635,0.809567616313815
MHAS,education,recovery,period_factor5,-0.884610855183255,0.107243630893389,-8.24860971056312,1.60247861995766e-16,0.412874810113847,0.334603720336069,0.509455210645397
MHAS,education,relapse,(Intercept),-20.1424868654221,1300.92633818997,-0.0154831878440151,0.9876466970436,1.78743024585068e-09,0,Inf
MHAS,education,relapse,sesmiddle,1.802922503374,0.781570423480936,2.30679469080239,0.0210662683717937,6.06735343982335,1.31133338847832,28.0727830826104
MHAS,education,relapse,seslow,0.319612053261366,0.68789003732281,0.464626664030867,0.642198834132812,1.3765936157284,0.35748838035087,5.30089951736131
MHAS,education,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.74493106188682,0.28841650941137,6.05003876320415,1.44810986178099e-09,5.72550675618309,3.25318560829812,10.0767160445689
MHAS,education,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",0.0366607305232235,0.505403416281532,0.0725375597833353,0.942174115797302,1.03734102298436,0.385224127245106,2.79337747005024
MHAS,education,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",0.731272982000337,0.77340779871681,0.945520569114534,0.344393174709268,2.0777238299672,0.456299309876053,9.46075573681276
MHAS,education,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.49078176895021,1.0117399043854,2.46187953855915,0.0138211078369718,12.0707089382773,1.66158431918104,87.6886069461829
